案卷类型,案卷来源,市派单时间,案卷标题,问题详细描述,回复内容,问题分类,问题分类1,问题分类2,问题分类3,行业分类,行业名称(1),行业名称(2),行业名称(3),涉及问题(1),涉及问题(2),处理单位,企业名称,投诉/举报/投诉+举报/咨询建议
诉求,微信服务号,2022-12-07 21:44:03,京东商城价格欺诈,商家以无货为由单方强迫我退价格低的订单，随后涨价。12月7日14：27在京东商场苑园图书专营店以293元价格成功下单购买《环球寻宝记系列全套36册儿童科普百科漫画书小学生科普世界未解之谜百科全书6-12岁儿童课外书 环球寻宝记 全套36册》图书，订单编号为257653180143，购买时显示有2套，购买后剩余1套。查询物流状态时看到客服以商品无货为理由，让我退单，我从原链接进入页面显示库存1套，与我第一单下完之后的库存状态一致，但是价格变为457元，随即下单（当日20：30），订单编号257668608940，下单后库存显示无货。由此可见商家就是以无货为理由变相涨价。联系京东客服解决，客服答复联系商家，随后看商家客服留言，因疫情原因无法发货，让我退款。但订单状态显示订单从新余发货，12月12日24：00前送达，并不存在疫情无法发货的情形，故商家又以疫情无法发货为理由变相涨价。诉求：商家按257653180143订单正常发货，若无货要求退单，按257653180143订单和257668608940补偿差价164元。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+图书、音像制品,商品类,图书、音像制品,,合同纠纷（消费）类,违反合同约定、不履行合同,卢沟桥所,,
诉求,12345,2022-12-06 09:36:51,协调退费,市民反映，自己11月20日在一家公司购买三本书，大概花了65元，等了一个多月都没有发给自己，自己要求退费，公司名称：北京永新兴图书有限公司，注册地址：丰台区郭公庄中街20号院3号楼12层1209-176，来电反映协调退费。注：请及时向来电人反馈办理情况。,市民反映，北京永新兴图书有限公司，注册地址丰台区郭公庄中街20号院3号楼1209-179，来电反映投诉协调退费问题。经执法人员联系被诉方，协调解决此事，被诉方已经协商一致，该诉求已解决。2022年12月6日10时25分，丰台市场监管局花乡所，丰台市场监管局花乡所执法人员电话联系投诉人，告知处理结果，投诉人表示满意。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+图书、音像制品,商品类,图书、音像制品,,预付费卡消费,预付费卡退费,花乡所,北京永新兴图书有限公司,投诉
诉求,12345,2023-06-19 14:48:58,美团优选虚假宣传售卖三无产品问题,市民反映，自己在北京新伟聚亿商贸有限公司旗下美团优选平台，购买的公主湖畔白洋淀咸鸭蛋，一盒6枚，生产日期：6月10号，宣传的是大鸭蛋大蛋黄，但是自己收到货后发现鸭蛋就跟乒乓球一样大，并且还是散装的，没有生产厂家和品牌标识，联系了美团优选客服，客服第一次的处理结果是赔偿10元钱，之后给出的结果是赔偿50元，市民认为不合理，要求商品下架，注册地址：北京市丰台区，问题一直没有解决，顺义区市场监督管理局给自己回复表示北京新伟聚亿商贸有限公司注册地址在丰台区，让自己重新联系12345反映到丰台区，来电反映美团优选虚假宣传售卖三无产品问题。注：请及时向来电人反馈办理情况。,2023年06月23日，丰台市场监管局新发地市场所接编号：热线-230619-037966，内容为市民反映美团优选销售的咸鸭蛋与宣传不符，要求我所对该投诉进行协调退费并补偿。针对该投诉，丰台市场监管局新发地市场所调解人员于2023年06月20日13:17分，电话联系投诉人，告知受理此单。经与企业负责人沟通，该企业注册地及实际经营地址在顺义区，丰台区北水嘉伦市场曾经是该公司内部进货地点，现该进货点已撤销，无法处理客户投诉，客户投诉由顺义区办公区处理，双方未能达成一致，终止调解。2023.06.2014：40分丰台市场监管局新发地市场所调解人员已反馈结果给投诉人，投诉人表示已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,食品安全类,销售三无食品,新发地所,北京新伟聚亿商贸有限公司,投诉
诉求,微信服务号,2022-11-29 20:40:07,希望12345协助帮忙退款,11月25日我父亲在盒马鲜生丽泽天街店下单巴西原切牛腩条2份（由顺丰分为两个包裹派送），中间由于物流原因导致商品在顺丰物流处停留2日，故现在要求退款。盒马鲜生方面不同意退款。盒马鲜生表示不是他们的原因导致配送超时。顾客收到货之前物流问题应该由平台监管商家，物流问题属于平台和商家之间的问题，不应该由顾客承担。现要求盒马鲜生退款。希望12345出面协商退款问题，谢谢,针对来电人反映要求协调退费的诉求，我局丽泽市场所执法人员于2022年11月30日15时联系来电人核实情况，告知受理。经调解，双方达成一致，调解成功。商家承诺5-7个工作日内将相关款项退还给消费者，已于2022年12月2日10时12分、10时25分联系来电人并告知办理结果。来电人表示满意解决。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+邮政服务类+快递物流,商务服务类,邮政服务类,快递物流,咨询类,法律法规、相关政策,丽泽所,北京盒马网络科技有限公司,投诉
诉求,12345,2022-08-30 11:03:37,举报商家虚假宣传,市民反映，自己8月13号在天猫平台上面购买了胶元蛋白饮一瓶和西芹子复合片，消费了1182元。这两款都不符合国标7718D4.1.4.1的标准。西芹籽复合片还存在虚假宣传的问题，详情页面一瓶酸脂下降两瓶正常四瓶直降高脂七瓶灵活如风远离危险。运单号：2817548748408509628，商家名称：北京明医堂医药有限公司，注册地址：丰台区久敬庄2幢1层101室。市民本人已经在丰台区市场监管局举报需要书面答复 （已解释），市民要求对店家依法处置并给市民书面答复（已解释）。市民姓名：林尚田，市民手机号：18505235625，市民地址：河北省唐山市丰南区双湖1期121楼。来电反映举报商家虚假宣传。注：请及时向来电人反馈办理情况。,"针对反映问题，和义市场所执法人员于2022.8.30 14:45分联系消费者，核实其诉求并告知受理。市民反映，自己8月13号在天猫平台上面购买了胶元蛋白饮一瓶和西芹子复合片，消费了1182元。这两款都不符合国标7718D4.1.4.1的标准。西芹籽复合片还存在虚假宣传的问题，详情页面一瓶酸脂下降两瓶正常四瓶直降高脂七瓶灵活如风远离危险。经查，该举报已于2022.8.22以信件方式进行投诉举报，案源编号：20220822002，已合并调查，目前还在调查处理中，已电话方式告知投诉举报人，来电人表示已悉知。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+药品,商品类,药品,,广告类,虚假宣传,和义所,北京明医堂医药有限公司,举报
诉求,微信服务号,2022-11-09 17:14:03,京东商城未发货还不退款,3号在京东买的狗粮，少送了两箱，已经跟商家退款，但是京东说补发以后拒收才能退款，补发了也拒收了，到就是各种不退款，每次电话沟通都是登记信息，登记诉求，就是不解决，要求退款,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+宠物、宠物用品类,商品类,宠物、宠物用品类,,合同纠纷（消费）类,违反合同约定、不履行合同,云岗所,,
诉求,12315,2022-07-22 11:56:12, 更换新车不同意维修“12315热线来电”,市民反映，2021年3月份在丰台区草桥西路101号本田4S店买了一台车，2022年7月10号去该店做车辆保养换机油，保养后从北京开天津，开到半途发现没有机油了，便联系4S店经后期检测发现是该店技师失误造成的，4S店要给维修，但市民不认可马家堡市场监督管理所跟丰台区运输维修管科说，市民车辆去年在这个4S店维修，维修坏了今年还要继续维修，但实际市民的车辆去年一点事都没有，根本不牵扯继续维修，市民不同意维修要求更换，并且自己车辆从购买之后一直到7月10号被保养损坏，期间并没有损坏过，丰台区运输维修管理科说自己车子在2021年损坏是哪里得到的数据，来电要求更换新车不同意维修。注：请及时向反映人反馈办理情况。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+汽车、二手车及配件,商品类,汽车、二手车及配件,,其他市场管理类,售后服务,马家堡所,,
诉求,12345,2023-06-21 15:50:20,协调退货,市民反映，在淘宝买了衣服，收到货之后市民洗了一次，衣服就缩水了，市民要退货，但商家不给市民退货，市民希望相关部门帮助协调，商家在北京，名称：北京逸依韩轩商贸有限公司，地址：丰台区贾家花园15号院7号楼1层西侧，订单号：3395599381882566015，来电反映协调退货。注：请及时向来电人反馈办理结果。,接到市民诉求后，丰台区市场监督管理局东铁营所执法人员于2023年6月24日15：03与市民电话联系，电话未接通。市民反映问题的情况为在淘宝店铺中购买衣服下水一次后缩水。丰台区市场监督管理局东铁营所执法人员对市民诉求进行办理，北京逸依韩轩商贸有限公司已同意消费者的退货退费诉求，双方达成一致意见，并于2023年6月24日办理完毕。2023年6月25日9：48已向来电市民反馈办理结果，市民对办理情况表示满意。感谢市民的支持与理解，我们将继续做好各项工作。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+服装、鞋帽,商品类,服装、鞋帽,,其他市场管理类,售后服务,东铁营所,北京逸依韩轩商贸有限公司,投诉
诉求,12345,2022-01-20 16:37:13,协调退款问题,市民反映，其称北京强哥说车旧机动车经纪有限公司，经营二手车辆，其在快手直播售卖，名称：北京强哥说车，快手号：KS13671268585，2022年1月12号在直播间购物车交了5000元意向金，家人不同意，3个小时之后与直播联系，表示不给退钱，联系快手客服，客服表示不予介入，已经把钱返给商家，注册地址：丰台区南四环中路260号新发地汽车交易市场12号，订单号：100078762930830，来电反映协调退款问题。注：请及时向来电人反馈办理情况。,"2022年1月21日15时30分，丰台市场监管局花乡所执法人员联系投诉人13468999936了解工单具体情况，经执法人员联系被诉方，协调解决此事，被诉方不同意退款，双方无法达成一致，终止调解，2022年1月25日16时00分，丰台市场监管局花乡所执法人员电话联系投诉人告知处理结果，投诉人表示知悉。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+汽车、二手车及配件,商品类,汽车、二手车及配件,,合同纠纷（消费）类,违反合同约定、不履行合同,花乡所,北京强哥说车旧机动车经纪有限公司,投诉
诉求,12345,2023-02-09 18:56:09,协调退换货,市民反映，市民在淘宝上买的汽车电瓶，在瓦尔塔旗舰店买的，用了一个月突然没电了，联系淘宝卖家，让当地服务商给市民处理，要市民把新电瓶送过去了，才给退钱，市民不认可，市民之前的旧电瓶已经交给卖家了，市民要求换个新电瓶，或者旧电瓶还给市民把新电瓶卖家拿走，公司叫北京建岚伟业商贸有限公司 ，丰台区花乡高立庄616号新华国际中心c座4层4194室，订单号，3114246602080209803，来电反映协调退换货问题。注：请及时向来电人反馈办理情况。,2023年2月10日15:30丰台市场监督管理局执法人员核实，市民反映，淘宝购买了一个汽车电瓶，在瓦尔塔旗舰店买的，用了一个月突然没电了，来点反应协调退换货问题，经执法人员与诉求人沟通情况，该商家与诉求人私下协商未能达成一致，终止调解。执法人员已与诉求人沟通情况，诉求人已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+自行车、电动自行车及零部件,商品类,自行车、电动自行车及零部件,,合同纠纷（消费）类,违反合同约定、不履行合同,花乡所,北京建岚伟业商贸有限公司,投诉
诉求,12315,2023-06-05 10:50:01,异地经营”12315热线来电“,市民反映，名称：北京小六科技有限公司，地址：北京市丰台区射击场路15号2层2011，这个公司经营地在西城区，市民不认可，认为这是异地经营，来电反映异地经营注：请及时向来电人反馈办理情况。,接到热线-230605-018453举报件后，北宫镇市场所执法人员多次联系诉求人，诉求人均未接听电话。针对诉求人反映的问题，经核实，北京小六科技有限责任公司于2022年6月13日注册地址由北京市海淀区天秀路10号中国农大国际创业园2号楼4层4132变更至北京市丰台区射击场路15号二层2011（园博数字）。另外，该公司在丰台汉威国际三区设有办公场所，并按要求在国家企业信用信息网进行了公司了公示。该公司未在西城区设立过办公场所，未发现异地经营的问题，我局决定不予立案。我所执法人员多次拨打诉求人电话告知诉求办理情况，诉求人均未接听，后将办理情况通过短信形式告知了诉求人。本举报已办结，特此报告。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+信息咨询类,商务服务类,信息咨询类,,超范围经营类,异地经营、未在注册地经营,北宫镇所,北京小六科技有限责任公司,举报
诉求,12345,2023-07-26 15:29:04,协调退费,市民反映，魔咖餐饮管理（北京）有限公司，注册地址：丰台区新发地潘家庙56号14幢B-61582。通过该公司在北京做了加盟店，缴纳3万2，交完定金后，发现这个品牌不太靠谱，就想退费，没有签合同，但是公司一直不给退定金，来电反映协调退费问题。 注：请及时向来电人反馈办理情况。注：市民联系电话：18355172701,市民反映，魔咖餐饮管理（北京）有限公司，注册地址：丰台区新发地潘家庙56号14幢B-61582。通过该公司在北京做了加盟店，缴纳3万2，交完定金后，发现这个品牌不太靠谱，就想退费，没有签合同，但是公司一直不给退定金，来电反映协调退费问题。经执法人员联系被诉方，协调解决此事，被诉方与投诉人未协商一致，终止调解；2023年7月26日14时27分，丰台市场监管局花乡所执法人员电话联系投诉人，告知处理结果，投诉人表示知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,餐饮服务类+餐馆、饭店、酒店、食堂等,餐饮服务类,餐馆、饭店、酒店、食堂等,,合同纠纷（消费）类,违反合同约定、不履行合同,花乡所,魔咖餐饮管理（北京）有限公司,投诉
诉求,12345,2022-04-16 21:10:53,投诉公司不给7天无理由退货问题,市民反映，自己要投诉北京资和信百货商场有限公司，公司注册地址：丰台区西四环南路1号，自己在天猫官网上购买的冰墩墩，自己收到货后，就申请了退货（7天无理由），申请后没有同意，他们驳回让自己提供产品的举证，订单号：1515109729971626777。自己认为7天无理由为什么驳回让提供举证，而且为什么不立即驳回，等了两天才驳回，没有正常的沟通渠道，来电投诉公司不给7天无理由退货问题。注：请及时向反映人反馈办理情况。,"针对来电反映协调退费问题，丰台区市场监督管理局看丹所执法人员于2022年4月17日电话联系来电人,告知受理并核实情况。来电人反映买的冬奥产品发现有瑕疵,想要退运费以及换货问题。2022年4月22日10:32执法人员电话回复投诉人，告知其检查结果，依据《市场监督管理投诉举报处理暂行办法》“第十四条具有本办法规定的处理权限的市场监督管理部门，应当自收到投诉之日起七个工作日内作出受理或者不受理的决定，并告知投诉人投诉人。目前正在协调处理中。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,其他市场管理类,售后服务,看丹所,北京资和信百货商场有限公司,投诉
诉求,12315,2023-10-14 19:15:29,投诉北京一快商贸有限公司销售未经授权商品不合理问题,市民反映，北京一快商贸有限公司未经授权欧浦照明的商品就售卖给自己了，认为公司销售未经授权商品不合理问题，公司：北京一快商贸有限公司，注册地址：丰台区丰台路口甲215号万隆汇洋家居建材市场3层352区，订单号：281110611079，下单手机号：13191121737，花费：701元，来电反映投诉北京一快商贸有限公司销售未经授权商品不合理问题,针对来电人反映问题，北京市丰台区场监督管理局六里桥市场所执法人员于2023年10月15日16时20分与举报人联系告知其受理并要求其提供证据材料，执法人员于2023年10月16日到现场进行检查，现场检查时该店出示了《营业执照》及授权委托书，现场未发现被举报现象，举报人未提供证据材料，故不予立案处理。2023年10月16日15时57分执法人员与举报人联系，告知举报人处理情况，举报人表示已知悉。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+互联网+互联网服务,商务服务类,互联网,互联网服务,超范围经营类,超出许可范围开展经营/生产,六里桥所,北京一快商贸有限公司,举报
诉求,12345,2023-01-12 06:22:50,商品订单取消问题,市民反映，公司注册地址：丰台区南四环西路186号汉威国际广场四区9号楼9层，公司名称：亚马逊中国，订单号：7033395453-3318437，市民称商家没有经过自己同意把自己的订单取消，已经联系商家反映此问题一直未得到解决，希望相关部门进行核实处理，来电反映商品订单取消问题。注：请及时向来电人反馈办理情况。,,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+日用百货,商品类,日用百货,,合同纠纷（消费）类,违反合同约定、不履行合同,科技园区所,,
诉求,12319,2021-12-22 10:10:38,协调退费,市民反映，自己在易报用车app上进行充值，活动规定充值固定金额会赠电视，充值的钱转换为转换为账户余额，市民进行打车但是根本打不到车，自己想要退费，公司不给退费，充值金额为两千五，充值账号：１８３３１８１０１００，市民表示易报app是滴滴打车旗下的，公司注册地址：北京丰台区北四环西路６６号技术交易大厦１９层B座，丰台区西四环南路8-1号1栋11层1123室，来电反映协调退费。注：请及时向来电人反馈办理情况。,"【被诉企业已经不在注册地址经营，我局已穷尽手段联系其相关负责人，均查无下落。我局于2019年2月20日已对被诉企业列入异常，文号京工商丰异列字〔2019〕2242号。该情况已同市中心多次反馈。请交通运输管理部门核实为何该企业已经被列入异常名录，其网约车软件还能经营网络预约出租车业务。】 2021年12月15日，丰台区市场监督管理局六里桥市场所执法人员接到易道用车APP协调退款诉求，经核实，易道用车公司名称：北京东方车云信息技术有限公司，该公司从事网络预约出租汽车客运。根据《网络预约出租汽车经营服务管理暂行办法》，国务院交通运输主管部门负责指导全国网约车管理工作。网约车主责部门为交通运输主管部门，超出我局职责范围，我局无法受理。依据国家市场监督管理总局令第20号《市场监督管理投诉举报处理暂行办法》第十五条投诉有下列情形之一的，市场监督管理部门不予受理：(一）投诉事项不属于市场监督管理部门职责，或者本行政机关不具有处理权限。建议转派北京市交通委员会丰台运输管理分局处理，我所执法人员已于2021年12月15日9时49分联系来电人，投诉人已知悉。建议转派北京市交通委员会丰台运输管理分局。
",市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商务服务类+交通运输服务类+客运服务,商务服务类,交通运输服务类,客运服务,预付费卡消费,预付费卡退费,六里桥所,易道APP,投诉
诉求,12315,2023-10-11 20:01:12,盒马生鲜临期产品不给退问题,1、购买渠道：盒马生鲜2、是否进行过消费纠纷调解：是3、平台或企业注册地址：丰台区看丹桥盒马生鲜资和信店4、消费内容：购买商品5、订单号：3559027321129147361，6、其具体诉求内容：自己在该店购买的商品，但是送过来是临期的产品，跟平台联系过，平台说是不属于临期商品不给退。,针对反映问题，看丹市场所齐姓执法人员于2023年10月12日09:47分联系投诉人者，核实其诉求。经看丹所执法人员于2023年10月12日15:07调解，被诉方不同意给诉方退费，双方协商未达成一致。终止调解。执法人员已于2023年10月16日11:21与投诉人电话联系告知相关情况，投诉人表示悉知。,市场管理+网络交易+网上商城,市场管理,网络交易,网上商城,商品类+食品,商品类,食品,,食品安全类,伪造、篡改生产日期、保质期,看丹所,北京盒马网络科技有限公司富丰桥分公司,投诉
